dataset,profilesHome,af,am,ar,az,bg,bn,bo,br,ca,cs,cy,da,de,el,en,es,et,eu,fa,fi,fr,ga,gu,gv,he,hi,hr,hu,hy,id,it,ja,ka,kk,kn,ko,kw,ky,lb,lt,lv,mk,ml,mn,mr,ne,nl,no,om,pa,pl,pt,ro,ru,si,sk,sl,sn,so,sr,sq,sv,sw,ta,te,tg,th,ti,tl,tr,uk,ur,vi,yi,yo,zh-cn,zh-tw,zu
single-words-capitalized,profiles,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.62237763,NaN,0.44755244,0.56643355,NaN,NaN,NaN,NaN,0.4755245,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.6013986,0.6549296,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.97183096,NaN,NaN
single-words-lowercased,profiles,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.45454547,NaN,0.42657343,0.6083916,NaN,NaN,NaN,NaN,0.5944056,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.6923077,0.6549296,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.97183096,NaN,NaN
